byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T11:00:10: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:10: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:14: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:14: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:14: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:18: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:18: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:18: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:21: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:21: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:21: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:25: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:25: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:25: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:29: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:29: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:29: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:33: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:33: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:33: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:37: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:37: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:37: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:41: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:41: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:41: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:45: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:45: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:45: PM2 log: App [unical:0] online
