byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T11:12:48: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:48: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:48: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:52: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:52: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:52: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:56: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:56: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:56: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:59: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:59: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:59: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:03: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:03: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:03: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:07: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:07: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:07: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:11: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:11: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:11: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:15: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:15: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:15: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:19: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:19: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:19: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:23: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:23: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:23: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:30: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:30: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:30: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:34: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:34: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:34: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:38: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:38: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:38: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:42: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:42: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:42: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:47: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:13:47: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:47: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:13:50: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
